month	Squirrels Number
1	34
2	34
3	33
4	33
5	33
6	37
7	37
8	42
9	42
10	41
11	53
12	53
13	63
14	62
15	62
16	80
17	80
18	80
19	95
20	95
21	102
22	106
23	106
24	118
