month	Squirrels Number
1	4
2	4
3	0
4	0
5	2
6	2
7	3
8	1
9	1
10	1
11	2
12	2
13	1
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
